Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
243,0.504587,0.509,0,-1.
244,0.493192,0.503,0,-1.
245,0.494164,0.519,0,-1.
246,0.51403,0.516,0,-1.
247,0.50713,0.542,0,-1.
248,0.50245,0.507,0,-1.
249,0.508051,0.504,0,-1.
250,0.51749,0.492,0,-1.
251,0.516933,0.486,0,-1.
252,0.472984,0.509,0,-1.
253,0.516642,0.514,0,-1.
254,0.483994,0.483,0,-1.
255,0.510269,0.505,0,-1.
256,0.509493,0.499,0,-1.
257,0.487734,0.479,0,-1.
258,0.517351,0.507,0,-1.
259,0.488088,0.465,0,-1.
260,0.498759,0.484,0,-1.
261,0.483479,0.489,0,-1.
262,0.490127,0.517,0,-1.
263,0.4851,0.512,0,-1.
264,0.476845,0.474,0,-1.
265,0.509227,0.485,0,-1.
266,0.502756,0.498,0,-1.
267,0.487561,0.485,0,-1.
268,0.514829,0.508,0,-1.
269,0.492703,0.46,0,-1.
270,0.489414,0.483,0,-1.
271,0.541325,0.523,0,-1.
272,0.506822,0.496,0,-1.
273,0.487262,0.508,0,-1.
274,0.513187,0.514,0,-1.
275,0.504843,0.497,0,-1.
276,0.451141,0.489,0,-1.
277,0.496528,0.488,0,-1.
278,0.484553,0.481,0,-1.
279,0.494216,0.479,0,-1.
280,0.497222,0.478,0,-1.
281,0.520915,0.501,0,-1.
282,0.48826,0.505,0,-1.
283,0.50069,0.508,0,-1.
284,0.470552,0.487,0,-1.
285,0.493091,0.502,0,-1.
286,0.481489,0.487,0,-1.
287,0.501993,0.494,0,-1.
288,0.497027,0.502,0,-1.
289,0.488207,0.482,0,-1.
290,0.500499,0.529,0,-1.
291,0.513641,0.507,0,-1.
292,0.494843,0.492,0,-1.
293,0.498449,0.49,0,-1.
294,0.501167,0.497,0,-1.
295,0.523675,0.497,0,-1.
296,0.494377,0.471,0,-1.
297,0.50885,0.522,0,-1.
298,0.482581,0.515,0,-1.
299,0.499786,0.506,0,-1.
300,0.535003,0.535,0,-1.
301,0.517317,0.523,0,-1.
302,0.488697,0.487,0,-1.
303,0.527429,0.516,0,-1.
304,0.473499,0.486,0,-1.
305,0.512256,0.526,0,-1.
306,0.503893,0.486,0,-1.
307,0.521976,0.505,0,-1.
308,0.483158,0.5,0,-1.
309,0.533277,0.512,0,-1.
310,0.487452,0.486,0,-1.
311,0.50866,0.467,0,-1.
312,0.487188,0.501,0,-1.
313,0.478557,0.488,0,-1.
314,0.542172,0.522,0,-1.
315,0.494507,0.5,0,-1.
316,0.534602,0.527,0,-1.
317,0.509183,0.512,0,-1.
318,0.492876,0.495,0,-1.
319,0.515375,0.496,0,-1.
320,0.485332,0.501,0,-1.
321,0.500556,0.519,0,-1.
322,0.471669,0.481,0,-1.
323,0.486035,0.463,0,-1.
324,0.487323,0.499,0,-1.
325,0.478164,0.456,0,-1.
326,0.499658,0.481,0,-1.
327,0.515813,0.501,0,-1.
328,0.489816,0.505,0,-1.
329,0.510634,0.491,0,-1.
330,0.529552,0.494,0,-1.
331,0.492349,0.493,0,-1.
332,0.471236,0.479,0,-1.
333,0.48471,0.466,0,-1.
334,0.467196,0.493,0,-1.
335,0.50795,0.482,0,-1.
336,0.501221,0.516,0,-1.
337,0.494102,0.526,0,-1.
338,0.483974,0.499,0,-1.
339,0.509589,0.523,0,-1.
340,0.495134,0.523,0,-1.
341,0.509935,0.499,0,-1.
342,0.500961,0.523,0,-1.
343,0.47747,0.476,0,-1.
344,0.500081,0.488,0,-1.
345,0.499141,0.51,0,-1.
346,0.521175,0.509,0,-1.
347,0.50289,0.51,0,-1.
348,0.472805,0.482,0,-1.
349,0.509644,0.522,0,-1.
350,0.529652,0.529,0,-1.
351,0.509628,0.504,0,-1.
352,0.485421,0.491,0,-1.
353,0.482199,0.464,0,-1.
354,0.515454,0.515,0,-1.
355,0.505404,0.5,0,-1.
356,0.464479,0.489,0,-1.
357,0.493288,0.517,0,-1.
358,0.506824,0.504,0,-1.
359,0.506367,0.489,0,-1.
360,0.494349,0.494,0,-1.
361,0.490667,0.508,0,-1.
362,0.498258,0.514,0,-1.
363,0.493008,0.503,0,-1.
364,0.507385,0.516,0,-1.
365,0.492007,0.503,0,-1.
366,0.501314,0.478,0,-1.
367,0.487035,0.483,0,-1.
368,0.44391,0.474,0,-1.
369,0.4991,0.497,0,-1.
370,0.489462,0.469,0,-1.
371,0.517903,0.5,0,-1.
372,0.5184,0.518,0,-1.
373,0.484349,0.507,0,-1.
374,0.48713,0.51,0,-1.
375,0.504391,0.527,0,-1.
376,0.521509,0.508,0,-1.
377,0.477189,0.504,0,-1.
378,0.489435,0.506,0,-1.
379,0.50467,0.486,0,-1.
380,0.498594,0.499,0,-1.
381,0.498227,0.501,0,-1.
