Batch,ServerUtilization,LossRatio,AvgNumInQueue,AvgDelayInQueue
256,0.427362,0.405,0,-1.
257,0.419582,0.43,0,-1.
258,0.47212,0.444,0,-1.
259,0.440716,0.428,0,-1.
260,0.45012,0.43,0,-1.
261,0.459106,0.45,0,-1.
262,0.452677,0.458,0,-1.
263,0.431934,0.436,0,-1.
264,0.45956,0.459,0,-1.
265,0.456545,0.46,0,-1.
266,0.414215,0.444,0,-1.
267,0.439543,0.447,0,-1.
268,0.448205,0.441,0,-1.
269,0.423216,0.417,0,-1.
270,0.436282,0.427,0,-1.
271,0.470794,0.435,0,-1.
272,0.435883,0.455,0,-1.
273,0.438275,0.433,0,-1.
274,0.445079,0.447,0,-1.
275,0.449401,0.454,0,-1.
276,0.439671,0.412,0,-1.
277,0.441422,0.448,0,-1.
278,0.431832,0.438,0,-1.
279,0.45259,0.433,0,-1.
280,0.47935,0.47,0,-1.
281,0.431019,0.438,0,-1.
282,0.435236,0.434,0,-1.
283,0.439812,0.434,0,-1.
284,0.458379,0.441,0,-1.
285,0.44733,0.419,0,-1.
286,0.462756,0.49,0,-1.
287,0.423539,0.434,0,-1.
288,0.466923,0.467,0,-1.
289,0.473544,0.471,0,-1.
290,0.459122,0.469,0,-1.
291,0.463948,0.461,0,-1.
292,0.457585,0.45,0,-1.
293,0.422584,0.451,0,-1.
294,0.443135,0.449,0,-1.
295,0.44041,0.421,0,-1.
296,0.432108,0.452,0,-1.
297,0.446485,0.443,0,-1.
298,0.448404,0.416,0,-1.
299,0.453046,0.431,0,-1.
300,0.439717,0.433,0,-1.
301,0.4345,0.438,0,-1.
302,0.428466,0.443,0,-1.
303,0.462171,0.437,0,-1.
304,0.466916,0.463,0,-1.
305,0.459473,0.444,0,-1.
306,0.467203,0.448,0,-1.
307,0.44073,0.432,0,-1.
308,0.443889,0.44,0,-1.
309,0.468748,0.465,0,-1.
310,0.42581,0.438,0,-1.
311,0.419736,0.421,0,-1.
312,0.433268,0.448,0,-1.
313,0.433961,0.437,0,-1.
314,0.4466,0.462,0,-1.
315,0.45325,0.439,0,-1.
316,0.452126,0.471,0,-1.
317,0.463739,0.451,0,-1.
318,0.471532,0.434,0,-1.
319,0.447576,0.43,0,-1.
320,0.420454,0.433,0,-1.
321,0.439349,0.43,0,-1.
322,0.422919,0.455,0,-1.
323,0.442486,0.441,0,-1.
324,0.42958,0.441,0,-1.
325,0.45766,0.475,0,-1.
326,0.436182,0.439,0,-1.
327,0.430465,0.455,0,-1.
328,0.442737,0.475,0,-1.
329,0.45164,0.447,0,-1.
330,0.426959,0.419,0,-1.
331,0.435626,0.447,0,-1.
332,0.452592,0.436,0,-1.
333,0.482458,0.468,0,-1.
334,0.433753,0.45,0,-1.
335,0.431384,0.426,0,-1.
336,0.443326,0.443,0,-1.
337,0.455225,0.449,0,-1.
338,0.427282,0.444,0,-1.
339,0.485277,0.458,0,-1.
340,0.407528,0.435,0,-1.
341,0.459626,0.422,0,-1.
342,0.4445,0.446,0,-1.
343,0.412096,0.441,0,-1.
344,0.421246,0.448,0,-1.
345,0.448982,0.436,0,-1.
346,0.450068,0.444,0,-1.
347,0.447231,0.453,0,-1.
348,0.43156,0.445,0,-1.
349,0.446755,0.458,0,-1.
350,0.443674,0.439,0,-1.
351,0.436682,0.463,0,-1.
352,0.436397,0.438,0,-1.
353,0.439339,0.422,0,-1.
354,0.440327,0.433,0,-1.
355,0.410353,0.434,0,-1.
356,0.425577,0.436,0,-1.
357,0.437521,0.428,0,-1.
358,0.446003,0.444,0,-1.
359,0.429966,0.458,0,-1.
360,0.447752,0.451,0,-1.
361,0.471705,0.488,0,-1.
362,0.448177,0.464,0,-1.
363,0.443017,0.44,0,-1.
364,0.443134,0.45,0,-1.
365,0.434221,0.431,0,-1.
366,0.427279,0.434,0,-1.
367,0.432506,0.458,0,-1.
368,0.453218,0.446,0,-1.
369,0.434361,0.429,0,-1.
370,0.428022,0.438,0,-1.
371,0.440163,0.446,0,-1.
372,0.449425,0.438,0,-1.
373,0.445239,0.416,0,-1.
374,0.448174,0.433,0,-1.
375,0.462777,0.464,0,-1.
376,0.458284,0.462,0,-1.
377,0.449851,0.479,0,-1.
378,0.456149,0.458,0,-1.
379,0.419715,0.445,0,-1.
380,0.454228,0.44,0,-1.
381,0.430568,0.475,0,-1.
382,0.444517,0.459,0,-1.
383,0.398567,0.418,0,-1.
384,0.451496,0.473,0,-1.
385,0.438224,0.455,0,-1.
386,0.440767,0.441,0,-1.
387,0.46114,0.473,0,-1.
388,0.443703,0.443,0,-1.
389,0.467672,0.451,0,-1.
390,0.429027,0.438,0,-1.
391,0.438524,0.428,0,-1.
392,0.435257,0.438,0,-1.
393,0.45165,0.439,0,-1.
394,0.446816,0.457,0,-1.
395,0.464216,0.431,0,-1.
396,0.453526,0.423,0,-1.
397,0.446953,0.439,0,-1.
398,0.437703,0.466,0,-1.
399,0.442646,0.471,0,-1.
400,0.422523,0.447,0,-1.

Summary Measures (across all batches)
Server Utilization,0.444232	+/- 0.00150998	(0.339907 %)
Loss/Blocking Probability,0.444482	+/- 0.0015448	(0.34755 %)
Average Number in Queue,0	+/- 0	(-1.#IND %)
Average Delay of Queued Arrivals,-1.#IND	+/- -1.#IND	(-1.#IND %)
